startDate,timeStep,species,location,size,sizeNext,sizeChange,log.sizeChange,surv
2007-10-11,1,CV,WB,66.3,86.7,20.4,3.01553490085017,1
2007-10-11,1,CV,WB,71.5,107.9,36.4,3.5945687746427,1
2007-10-11,1,CV,WB,71.8,NA,NA,NA,0
2007-10-11,1,CV,WB,69.5,NA,NA,NA,0
2007-10-11,1,CV,WB,55.9,93.8,37.9,3.63495111208838,1
2007-10-11,1,CV,WB,65.2,93.8,28.6,3.35340671782581,1
2007-10-11,1,CV,WB,59.4,NA,NA,NA,0
2007-10-11,1,CV,WB,65.2,NA,NA,NA,0
2007-10-11,1,CV,WB,65.7,NA,NA,NA,0
2007-10-11,1,CV,WB,67.8,NA,NA,NA,0
2007-10-11,1,CV,WB,63,75.7,12.7,2.54160199346455,1
2007-10-11,1,CV,WB,66.8,NA,NA,NA,0
2007-10-11,1,CV,WB,55.6,NA,NA,NA,0
2007-10-11,1,CV,WB,73.6,108.2,34.6,3.54385368206368,1
2007-10-11,1,CV,WB,60.9,NA,NA,NA,0
2007-10-11,1,CV,WB,67.3,107.1659316,39.8659316,3.68552211455135,1
2007-10-11,1,CV,WB,67.1,NA,NA,NA,0
